2025-12-14 14:07:44 | INFO     | - | src.app:lifespan:47 | Logging configured
2025-12-14 14:07:44 | INFO     | - | src.core.configs.database:init:70 | ✅ Write DB initialized: 127.0.0.1:5432/timima (pool_size=10, max_overflow=20)
2025-12-14 14:07:44 | INFO     | - | src.core.configs.database:init:105 | Read DB using write DB configuration (no replica)
2025-12-14 14:08:20 | INFO     | - | src.app:lifespan:47 | Logging configured
2025-12-14 14:08:20 | INFO     | - | src.core.configs.database:init:70 | ✅ Write DB initialized: 127.0.0.1:5433/timima (pool_size=10, max_overflow=20)
2025-12-14 14:08:20 | INFO     | - | src.core.configs.database:init:105 | Read DB using write DB configuration (no replica)
2025-12-14 14:14:01 | INFO     | - | src.app:lifespan:47 | Logging configured
2025-12-14 14:14:01 | INFO     | - | src.core.configs.database:init:70 | ✅ Write DB initialized: 127.0.0.1:5432/timima (pool_size=10, max_overflow=20)
2025-12-14 14:14:01 | INFO     | - | src.core.configs.database:init:105 | Read DB using write DB configuration (no replica)
2025-12-14 14:16:18 | INFO     | - | src.app:lifespan:47 | Logging configured
2025-12-14 14:16:18 | INFO     | - | src.core.configs.database:init:70 | ✅ Write DB initialized: 127.0.0.1:5432/timima (pool_size=10, max_overflow=20)
2025-12-14 14:16:18 | INFO     | - | src.core.configs.database:init:105 | Read DB using write DB configuration (no replica)
2025-12-14 14:19:45 | INFO     | - | src.app:lifespan:47 | Logging configured
2025-12-14 14:19:45 | INFO     | - | src.core.configs.database:init:70 | ✅ Write DB initialized: 127.0.0.1:5433/timima (pool_size=10, max_overflow=20)
2025-12-14 14:19:45 | INFO     | - | src.core.configs.database:init:105 | Read DB using write DB configuration (no replica)
2025-12-14 14:19:45 | INFO     | - | src.core.configs.database:_verify_connections:147 | Write DB connection verified
2025-12-14 14:19:45 | INFO     | - | src.core.configs.database:_verify_connections:151 | Read DB connection verified
2025-12-14 14:19:45 | INFO     | - | src.app:lifespan:52 | Database initialized
2025-12-14 14:19:45 | WARNING  | - | src.app:lifespan:63 | Application will continue without Redis
2025-12-14 14:19:45 | INFO     | - | src.app:lifespan:68 | Database health: healthy
2025-12-14 14:19:45 | WARNING  | - | src.core.routers.loader:load_all:84 | No controller files found in 'src/modules'
2025-12-14 14:19:45 | INFO     | - | src.app:lifespan:83 | Routers loaded
2025-12-14 14:19:45 | INFO     | - | src.app:lifespan:89 | Application startup complete
