2025-12-12 09:17:51 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:17:57 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:19:36 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:21:38 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:21:46 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:21:51 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:21:53 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:21:58 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:22:18 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:22:39 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:27:55 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:30:25 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:30:31 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:30:49 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:31:30 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:32:22 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:32:46 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:32:55 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:34:47 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:35:38 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:36:33 | INFO     | - | src.app:lifespan:16 | Application shutting down...
2025-12-12 09:54:29 | INFO     | 3d1b10f0-b042-4656-9248-7406112a76b5 | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 09:54:29 | INFO     | 3d1b10f0-b042-4656-9248-7406112a76b5 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 09:54:30 | INFO     | c0492fc8-ba67-415e-8448-e157e1cd5929 | src.core.middlewares.logging:dispatch:72 | Request started: GET /api/v1/openapi.json
2025-12-12 09:54:30 | INFO     | c0492fc8-ba67-415e-8448-e157e1cd5929 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /api/v1/openapi.json
2025-12-12 09:55:03 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 09:55:05 | INFO     | a31ef41e-532f-4331-a72a-7ad6ab1eef0b | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 09:55:05 | INFO     | a31ef41e-532f-4331-a72a-7ad6ab1eef0b | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 09:55:05 | INFO     | 948dbdbb-8f20-4758-885f-06ba6ac90622 | src.core.middlewares.logging:dispatch:72 | Request started: GET /api/v1/openapi.json
2025-12-12 09:55:05 | INFO     | 948dbdbb-8f20-4758-885f-06ba6ac90622 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /api/v1/openapi.json
2025-12-12 09:56:42 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 09:56:47 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 09:57:18 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 09:57:52 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 09:58:23 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 09:58:35 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 09:58:48 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 10:07:56 | INFO     | 84fb5423-6847-4d4d-8f81-c9d6aa0c7a71 | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 10:07:56 | INFO     | 84fb5423-6847-4d4d-8f81-c9d6aa0c7a71 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 10:07:56 | INFO     | 903f57fa-5a73-4b02-b2ea-98690742647c | src.core.middlewares.logging:dispatch:72 | Request started: GET /api/v1/openapi.json
2025-12-12 10:07:56 | INFO     | 903f57fa-5a73-4b02-b2ea-98690742647c | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /api/v1/openapi.json
2025-12-12 10:09:12 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 10:13:21 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 10:13:23 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 10:13:46 | INFO     | bb4d0f63-cee4-447c-9b0e-a902d8e564c7 | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 10:13:46 | INFO     | bb4d0f63-cee4-447c-9b0e-a902d8e564c7 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 10:13:46 | INFO     | 812778bc-8336-4bc7-8d55-4134e4c77758 | src.core.middlewares.logging:dispatch:72 | Request started: GET /api/v1/openapi.json
2025-12-12 10:13:46 | INFO     | 812778bc-8336-4bc7-8d55-4134e4c77758 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /api/v1/openapi.json
2025-12-12 10:13:48 | INFO     | ff383f8c-a813-4fbd-8a8e-d9dafb7781a0 | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 10:13:48 | INFO     | ff383f8c-a813-4fbd-8a8e-d9dafb7781a0 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 10:13:48 | INFO     | e0e5f5a6-dd28-4a5f-8510-fab5180460f1 | src.core.middlewares.logging:dispatch:72 | Request started: GET /api/v1/openapi.json
2025-12-12 10:13:48 | INFO     | e0e5f5a6-dd28-4a5f-8510-fab5180460f1 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /api/v1/openapi.json
2025-12-12 10:13:48 | INFO     | 1afae0d5-d232-4d3d-aa02-768442bc9b3a | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 10:13:48 | INFO     | 1afae0d5-d232-4d3d-aa02-768442bc9b3a | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 10:13:48 | INFO     | b0d22223-35dd-4d56-b5f3-b8a930d97b91 | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 10:13:48 | INFO     | b0d22223-35dd-4d56-b5f3-b8a930d97b91 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 10:13:49 | INFO     | dd3309ac-5452-458e-ab4d-e7ba37c9501e | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 10:13:49 | INFO     | dd3309ac-5452-458e-ab4d-e7ba37c9501e | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 10:13:49 | INFO     | c9cd98c9-a7b9-4c69-a340-baa58ee1767e | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 10:13:49 | INFO     | c9cd98c9-a7b9-4c69-a340-baa58ee1767e | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 10:13:49 | INFO     | 072a50b8-c147-486b-a957-cdd38a96bda9 | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 10:13:49 | INFO     | 072a50b8-c147-486b-a957-cdd38a96bda9 | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 10:13:49 | INFO     | dc0ed2fe-feb4-4d5b-97d3-be84e94ced0c | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
2025-12-12 10:13:49 | INFO     | dc0ed2fe-feb4-4d5b-97d3-be84e94ced0c | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /docs
2025-12-12 10:13:50 | INFO     | 4e8ee1ee-fc02-4a38-a32a-dabc01d1b33c | src.core.middlewares.logging:dispatch:72 | Request started: GET /api/v1/openapi.json
2025-12-12 10:13:50 | INFO     | 4e8ee1ee-fc02-4a38-a32a-dabc01d1b33c | src.core.middlewares.logging:dispatch:126 | Request completed: SUCCESS - GET /api/v1/openapi.json
2025-12-12 10:14:02 | INFO     | - | src.app:lifespan:15 | Application shutting down...
2025-12-12 10:14:07 | INFO     | cc818e05-e485-4e10-bc1c-116364dc2e6a | src.core.middlewares.logging:dispatch:72 | Request started: GET /docs
